x,y,v_x,v_y,omega
2.375,32.48,0.0,3.641025641025641,-4.448979591836735
2.3740025695019566,31.83266480068518,-0.011082561089372318,3.5515876846945673,-4.148053774743287
2.3711659953181776,31.20108024689342,-0.02043492984150551,3.466018468547192,-3.8777362538300757
2.366778354897798,30.58457380797232,-0.02831663038493422,3.384053075020579,-3.6340085665696624
2.3610848045676978,29.98251840149214,-0.03494503994951247,3.3054514414258676,-3.413474268085141
2.354294489855948,29.394328195539593,-0.040502901292147925,3.2299952913802223,-3.2132496317448056
2.346586235637958,28.819454919779442,-0.045144367796632785,3.1574855503992367,-3.0308757259422587
2.3381132520550336,28.257384606618153,-0.048999894235859376,3.087740151392856,-2.864247269389803
2.3290070423610874,27.707634698817664,-0.05218021347465535,3.020592157501486,-2.7115547461867644
2.3193806604947143,27.16975147152628,-0.054779585040602125,2.955888145736106,-2.57123706619632
2.3093314363987623,26.643307725791356,-0.056878460469977014,2.8934868068741455,-2.4419426613647395
2.298943263836777,26.12790071782043,-0.058545679107634745,2.83325772613613,-2.322497367734949
2.28828852714999,25.623150294017975,-0.0598402840788862,2.775080316113386,-2.211877793978157
2.2774297289157066,25.12869720647659,-0.06081302963537751,2.7188428787908934,-2.1091891476530793
2.2664208689478023,24.644201587391507,-0.061507636674670955,2.664441777710031,-2.013646700036822
2.2553086158704,24.16934156398077,-0.06196184196313346,2.6117807046314923,-1.9245602339158734
2.2441333050986136,23.70381199807097,-0.06220827772337581,2.560770027699582,-1.8413209470560576
2.232929791092565,23.247323336657228,-0.062275211232718015,2.5113262102308926,-1.763390385319386
2.2217281769163018,22.799600561549248,-0.062187168503544984,2.4633712909688654,-1.6902910596901481
2.2105544402011845,22.360382227737713,-0.06196546166442322,2.4168324180482035,-1.6215984654593723
2.1994309714032245,21.92941958140745,-0.06162863609068797,2.3716414300657847,-1.5569342730437212
2.1883770376137974,21.50647574962678,-0.0611928504585043,2.327734478608365,-1.4959605011067099
2.17740918302099,21.091324994687717,-0.060672200572688996,2.285051687381251,-1.4383745159115087
2.1665415753354513,20.68375202688619,-0.06007899593329376,2.2435368437467966,-1.3839047277998788
2.1557863060190683,20.283551370235283,-0.059423996470963754,2.203137119041072,-1.3323068776365983
2.145153650930244,19.89052677621565,-0.058716615627081,2.1638028145103867,-1.2833608239834922
2.1346522969803843,19.504490681199677,-0.05796509492691877,2.1254871301116003,-1.2368677564600496
2.1242895395455488,19.12526370365091,-0.05717665434903313,2.0881459537635707,-1.192647772832276
2.114071454665378,18.752674177608363,-0.05635762209730813,2.0517376689313838,-1.1505377673434463
2.104003049464098,18.3865577193235,-0.055513546805801305,2.0162229786782278,-1.11038958605517
2.094088393726,18.026756824234006,-0.054649294728622795,1.9815647445383977,-1.072068411821216
2.0843307351341536,17.673120491737663,-0.05376913406966888,1.9477278387543002,-1.0354513472243991
2.0747326003230704,17.325503875477132,-0.052876808275697455,1.9146790085849141,-1.0004261685737321
2.0652958835927215,16.983767957066195,-0.05197559983929438,1.8823867515366048,-0.9668902280511527
2.056021924873823,16.64777924138357,-0.051068385926240474,1.8508212004925593,-0.9347494844493529
2.04691157831524,16.317409471734813,-0.05015768694690894,1.8199540178269706,-0.9039176457644622
2.037965272677563,15.99253536333859,-0.04924570902727562,1.789758297686613,-0.8743154092893758
2.029183064557403,15.673038353733126,-0.04833438119672386,1.7602084757074288,-0.8458697868689702
2.020564685330345,15.35880436882367,-0.047425387992809376,1.731280245508753,-0.8185135046877996
2.012109582583432,15.04972360340421,-0.046520198084006655,1.7029504813741343,-0.7921844684139849
2.0038169567074156,14.745690315087753,-0.04562008942728573,1.6751971665864878,-0.7668252857610857
1.995685793232441,14.446602630670593,-0.044726171405763515,1.6479993269375262,-0.7423828395869464
1.9877148914161642,14.152362364038211,-0.043839404330643886,1.6213369689778374,-0.7188079055531817
1.9799028895288473,13.862874844794824,-0.04296061663954537,1.5951910226153698,-0.696054809144744
1.9722482872242024,13.578048756865808,-0.042090520078731083,1.5695432877070195,-0.6740811175156227
1.9647494653364475,13.297795986383282,-0.04122972311854687,1.5443763843210554,-0.6528473622006632
1.9574047034021067,13.022031478220395,-0.040378742818571116,1.5196737063776957,-0.6323167892285992
1.9502121951686657,12.750673100590252,-0.0395380153307719,1.4954193784016876,-0.6124551335993178
1.943174635723144,12.483642433928736,-0.038657089619469724,1.4715880289484717,-0.5918652700409226
1.9362939901702898,12.220863680449046,-0.037794527634466675,1.4481758986036593,-0.5721427172463478
1.9295669673611557,11.962262636497687,-0.03695017024480023,1.4251690341892103,-0.5532412386967446
1.92299030804902,11.707767557144066,-0.03612382211226269,1.40255406973992,-0.5351175278971897
1.916560790901072,11.457309053289475,-0.03531525730938347,1.3803181953111123,-0.5177309929845075
1.9102752375605216,11.210819994213736,-0.03452422425228756,1.3584491277526682,-0.5010435592891719
1.9041305168751281,10.968235415218505,-0.03375045002986327,1.3369350833054507,-0.48501948818125434
1.8981235483943744,10.729492430051081,-0.03299364420073396,1.3157647518881568,-0.4696252107015346
1.892251305225431,10.494530147815333,-0.03225350212085663,1.2949272729534782,-0.45482917463090594
1.8865108163274245,10.263289594097312,-0.03152970785699579,1.2744122128023119,-0.4406017037864171
1.880899168314172,10.035713636052268,-0.030821936734697634,1.2542095432537144,-0.4269148684526915
1.8754135068273259,9.811746911217554,-0.030129857563592488,1.234309621576445,-0.4137423659648163
1.870051037534603,9.591335759832091,-0.02945313457777448,1.2147031715953698,-0.40105941055462363
1.8648090268013933,9.374428160458159,-0.028791429124553212,1.1953812658927576,-0.3888426316579359
